region background,[68]V412 [70]V1619 [71]V2331 [72]V2960 [73]V3304 [74]V3724 [75]V4225 [76]V5107 [77]V5666 [78]V6213 [79]V6806 [80]V7452 [81]V8104 [82]V8728 [83]V9415 [84]V11061 [85]V12422
region background,[70]V1620 [71]V2332 [72]V2961 [73]V3305 [74]V3725 [75]V4226 [76]V5108 [77]V5667 [78]V6214 [79]V6807
region background,[70]V1621 [71]V2333 [72]V2962 [73]V3306 [74]V3726 [75]V4227 [76]V5109 [77]V5668 [78]V6215 [79]V6808
hrs_work,[68]ER30013 [69]ER30034 [70]ER30058 [71]ER30082 [72]ER30107 [73]ER30131 [74]ER30153 [75]ER30177 [76]ER30204 [77]ER30233 [78]ER30270 [79]ER30300 [80]ER30330 [81]ER30360 [82]ER30388 [83]ER30417 [84]ER30447 [85]ER30482 [86]ER30517 [87]ER30553 [88]ER30588 [89]ER30624 [90]ER30661 [91]ER30709 [92]ER30754 [93]ER30823
hrs_work,[68]V47 [69]V465 [70]V1138 [71]V1839 [72]V2439 [73]V3027 [74]V3423 [75]V3823 [76]V4332 [77]V5232 [78]V5731 [79]V6336 [80]V6934 [81]V7530 [82]V8228 [83]V8830 [84]V10037 [85]V11146 [86]V12545 [87]V13745 [88]V14835 [89]V16335 [90]V17744 [91]V19044 [92]V20344 [93]V21634 [94]ER4096 [95]ER6936 [96]ER9187 [97]ER12174 [99]ER16471 [01]ER20399 [03]ER24080 [05]ER27886 [07]ER40876 [09]ER46767 [11]ER52175 [13]ER57976 [15]ER65156 [17]ER71233 [19]ER77255 [21]ER81582
hrs_work,[68]V53 [69]V475 [70]V1148 [71]V1849 [72]V2449 [73]V3035 [74]V3431 [75]V3831 [76]V4344 [77]V5244 [78]V5743 [79]V6348 [80]V6946 [81]V7540 [82]V8238 [83]V8840 [84]V10131 [85]V11258 [86]V12657 [87]V13809 [88]V14865 [89]V16365 [90]V17774 [91]V19074 [92]V20374 [93]V21670 [94]ER4107 [95]ER6947 [96]ER9198 [97]ER12185 [99]ER16482 [01]ER20410 [03]ER24091 [05]ER27897 [07]ER40887 [09]ER46788 [11]ER52196 [13]ER57997 [15]ER65177 [17]ER71254 [19]ER77276 [21]ER81603
hrs_work,[68]V72 [69]V520 [70]V1221 [71]V1923 [72]V2524 [73]V3077 [74]V3489 [75]V3890 [76]V4405 [77]V5317 [78]V5816 [79]V6427 [80]V7032 [81]V7624 [82]V8317 [83]V8925 [84]V10381 [85]V11560 [86]V12967 [87]V14069 [88]V15084 [89]V16584 [90]V18000 [91]V19300 [92]V20600 [93]V22369
employment,[79]ER30293 [80]ER30323 [81]ER30353 [82]ER30382 [83]ER30411 [84]ER30441 [85]ER30474 [86]ER30509 [87]ER30545 [88]ER30580 [89]ER30616 [90]ER30653 [91]ER30699 [92]ER30744 [93]ER30816 [94]ER33111 [95]ER33211 [96]ER33311 [97]ER33411 [99]ER33512 [01]ER33612 [03]ER33712 [05]ER33813 [07]ER33913 [09]ER34016 [11]ER34116 [13]ER34216 [15]ER34317 [17]ER34516 [19]ER34716 [21]ER34916
occupation,[68]V197_A [69]V640_A [70]V1279_A [71]V1984_A [72]V2582_A [73]V3115_A [74]V3530_A [75]V3968_A [76]V4459_A [77]V5374_A [78]V5873_A [79]V6497_A [80]V7100_A
occupation,[74]V3529 [81]V7712 [82]V8380 [83]V9011 [84]V10460 [85]V11651 [86]V13054 [87]V14154 [88]V15162 [89]V16663 [90]V18101 [91]V19401 [92]V20701 [93]V22456 [94]ER4017 [95]ER6857 [96]ER9108 [97]ER12085 [99]ER13215 [01]ER17226
